16:31:01  Opening log file '211107-163101 CATfix v1.0 log.txt'

CATfix options file: catfix.ini

            com_in=11
            com_in_baud=115200
            com_out=2
            com_out_baud=115200

            start_minimized=0
            enable_log=1

            reset_AI=1
            set_lock=0

16:31:01  Opening input port: COM11
16:31:01  Opening output port: COM2
MODEL: ?  TYPE: K 00.  FIRMWARE VERSION: 1.04.

16:31:27  EXTERNAL MODE via COM11
---------------------------------------------------------

16:31:27 SESSION STARTED

16:31:27 ************** DATE: Sun.07 Nov 2021
16:31:30       2.18   > EX0290000;
16:31:30       2.21   > EX0360000;
16:31:30       2.23   > EX0370000;
16:31:30       2.25   > EX0540000;
16:31:30       2.27   > EX0560000;
16:31:30       2.29   > EX0610000;
16:31:30       2.32   > EX0690000;
16:31:30       2.34   > EX0700000;
16:31:30       2.36   > EX0850000;
16:31:30       2.39   > EX0140000;
16:31:30       2.41   > EX0160000;
16:31:30       2.44   > EX0170000;
16:31:30       2.46   > EX0180000;
16:31:30       2.49   > EX0190000;
16:31:30       2.51   > EX0200000;
16:31:30       2.53   > EX0210000;
16:31:30       2.56   > EX0270000;
16:31:30       2.58   > EX0280000;
16:31:30       2.60   > EX0290000;
16:31:30       2.63   > EX0360000;
16:31:30       2.65   > EX0370000;
16:31:30       2.67   > EX0540000;
16:31:30       2.71   > EX0560000;
16:31:30       2.73   > EX0610000;
16:31:30       2.76   > EX0690000;
16:31:30       2.78   > EX0700000;
16:31:30       2.80   > EX0850000;
16:31:30       2.81   > TS;
16:31:30       2.82   > FR;
16:31:30       2.82   > MD;
16:31:30       2.90   < ?;
16:31:30       2.90   < ?;
16:31:30       2.90   < EX01400001;
16:31:30       2.90   < EX01600005;
16:31:30       2.91   < EX01700002;
16:31:30       2.91   < SM00001;
16:31:30       2.91   < EX018000001;
16:31:30       2.92   < EX019000003;
16:31:30       2.92   < EX02000000;
16:31:30       2.92   < PS1;
16:31:30       2.92   < EX02100001;
16:31:30       2.93   < EX02700000;
16:31:30       2.93   < AI2;
16:31:30       2.93   < EX02800000;
16:31:30       2.93   < SM00002;
16:31:30       2.94   < EX02900000;
16:31:30       2.94   < EX03600000;
16:31:30       2.94   < EX03700000;
16:31:30       2.95   < EX05400000;
16:31:30       2.95   < EX05600000;
16:31:30       2.95   < SM00003;
16:31:30       2.95   < EX06100001;
16:31:30       2.95   < EX06900001;
16:31:30       2.96   < EX07000001;
16:31:30       2.96   < SM00002;
16:31:30       2.96   < EX08500001;
16:31:30       2.96   < EX01400001;
16:31:30       2.96   < EX01600005;
16:31:30       2.97   < EX01700002;
16:31:30       2.97   < EX018000001;
16:31:30       2.97   < SM00003;
16:31:30       2.98   < EX019000003;
16:31:30       2.98   < EX02000000;
16:31:30       2.98   < EX02100001;
16:31:30       2.99   < EX02700000;
16:31:30       2.99   < EX02800000;
16:31:30       2.99   < EX02900000;
16:31:30       3.00   < EX03600000;
16:31:30       3.00   < EX03700000;
